original_text,cleaned_text,original_label,encoded_label
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,argh noo missed killers wossy sucks missed brandon total failure anyone know repeated must investigate,negative,0
seriously bored without anyone to talk to... but not tired enough for sleep,seriously bored without anyone talk tired enough sleep,negative,0
 I am lost. Please help me find a good home.,lost please help find good home,negative,0
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",peter gordon morning go pieces wanna hide go pieces almost die ever,neutral,1
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,ok ive got bit bad back lifting drum hardware car downer,negative,0
 LMAO... Smh!  that one threw me off.,lmao smh one threw,neutral,1
 oh nice going!,oh nice going,positive,2
Is getting ready for work... Working all weekend,getting ready work working weekend,neutral,1
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,gonna celebrate mothers day family gonna start partying tonite,positive,2
 i agree with you!,agree,positive,2
 I only do computers. Am hopeless at everything else,computers hopeless everything else,negative,0
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",degrees gross skies thunderstormsperfect match mood lol,positive,2
_2nd aww thanks!,_nd aww thanks,positive,2
 Sorry RB is on PS3 for me,sorry rb ps,negative,0
I saw amazing heeels. But they were too big,saw amazing heeels big,neutral,1
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,stuck finger throat bunch bumps tongue throat,negative,0
dang last url went down  ? http://blip.fm/~7aigm,dang last url went,negative,0
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",ohoh missed ur tweets im gonna stay awake night see announcement time difference,negative,0
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,damnit sucks one ones thought id drag back lol,negative,0
 my boss. She`s moving to NYC,boss shes moving nyc,neutral,1
this is sooo crazy i have fever..,sooo crazy fever,negative,0
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,spending saturday morning taking notes research essay stupid recalled book im using fair,negative,0
I think i need some new friends,think need new friends,neutral,1
 Looking forward to your gig in Ireland!!!  See ya there!,looking forward gig ireland see ya,neutral,1
I' watching a movie name Adimurie,watching movie name adimurie,positive,2
aww  you loooove me,aww loooove,positive,2
"is hungry, twitter.  i want food.",hungry twitter want food,neutral,1
awesome lucky you,awesome lucky,positive,2
" yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",yea know tell everything ps send direct messages telling haha,neutral,1
" haha im jewish, i love that one",haha im jewish love one,positive,2
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",great time beer garden wit boyos think sun got bit though feel bit ill,neutral,1
 l`m on 3 days too matt. No fun this weekend.,lm days matt fun weekend,negative,0
 u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,u really dont think maybe ur rightlol btw phone u using think u told bi might app u,neutral,1
 I feel your pain. Mine is the same way,feel pain mine way,negative,0
comes home in two days,comes home two days,neutral,1
 Sadly no. It didn`t come with one...,sadly didnt come one,negative,0
Cant wait to see my boy tomorrow,cant wait see boy tomorrow,positive,2
 ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,ehhh check dentist app next week though getting molar pulledroot canal,neutral,1
 aww I miss driving down elmwood,aww miss driving elmwood,negative,0
Omg Wango Tango was **** AWSOME! I love my baby for taking me,omg wango tango awsome love baby taking,positive,2
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched",version live interactive transsiberian ticket planner launched,positive,2
_30439 I really wish I could go!,_ really wish could go,positive,2
" yeah real hard, but I know you`ll get by with it... smile",yeah real hard know youll get smile,neutral,1
 I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,im december thats good next big birthday flys sure,negative,0
  This has made my night!!  Way too funny!!,made night way funny,positive,2
Woo CAVS.  Happy Mother`s Day!,woo cavs happy mothers day,positive,2
 I make that same face when I get home and your mom is watching soaps.,make face get home mom watching soaps,neutral,1
I have to go to work now.,go work,neutral,1
 I can`t believe you went and got boba without me.,cant believe went got boba without,neutral,1
"  And to you too, how are you today?",today,neutral,1
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,thanks warm welcome didnt make plans arrival time air,positive,2
19 days and counting,days counting,neutral,1
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,sorry friends im swamped deadlines right family visiting boot charades,negative,0
BRAINFREEZE,brainfreeze,neutral,1
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,discovered shortcoming gravity use twitpic integrated doesnt subtract pic url character limit,neutral,1
"My sunburn is peeling,",sunburn peeling,negative,0
perky purple nail polish isn`t as perky when its chipped,perky purple nail polish isnt perky chipped,neutral,1
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",put camera smokers pit longer vandalize door without caught,neutral,1
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,laying alone since mooks soo comfy fn play pen thought ill first dont one cuddle,negative,0
I hate the dentist,hate dentist,negative,0
" nothing aimed at you, just joining in...sorry",nothing aimed joining insorry,negative,0
I`m taking a twitter break. Cell is dying,im taking twitter break cell dying,negative,0
 qood morninq,qood morninq,neutral,1
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,writing english original writing storyyyyy listening little respect erasure aaaaaah,neutral,1
needs more followers,needs followers,neutral,1
I wish I could get my nails done  stupid job,wish could get nails done stupid job,negative,0
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,little wormy labyrinth sadly passed away today ok hes still around happy ghost form aww,neutral,1
 the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,pants idea could new attempt worldwide attract business back airlines,neutral,1
 Have a good one,good one,positive,2
" yep infact she is popular, miss india 99, talented film actress .... and lot more",yep infact popular miss india talented film actress lot,positive,2
Dosen`t Want To Go To Work Tomorrow,dosent want go work tomorrow,negative,0
Daniel has won DSDS. His voice is great.,daniel dsds voice great,positive,2
I need blood O negative,need blood negative,neutral,1
was hoping to go to Red Lobster this weekend,hoping go red lobster weekend,neutral,1
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,_x_atl u mean jack barakats wow u ever gone house hehe mean ur ssoo lucky address,positive,2
I sure do hope it becomes 4:20 this afternoon ...,sure hope becomes afternoon,positive,2
 it means that you are now FAMOUS. Congrats!,means famous congrats,positive,2
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,phone passed away yesterday jumped table searching new phone,negative,0
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",fantastic friends including several ones met thanks life amazing people,positive,2
tamlyn wishes she was as cool as my sock draw,tamlyn wishes cool sock draw,positive,2
 so no rice or crusty bread with the chili .... aawww,rice crusty bread chili aawww,neutral,1
"  We are of like minds this evening , my dear!",like minds evening dear,neutral,1
come and save me from my packing please?!,come save packing please,neutral,1
"Yes, I love tea. If that makes me typically English then so be it",yes love tea makes typically english,positive,2
 a mouth for sure,mouth sure,positive,2
_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,_decde finally hour history pm went highschool make homework friend,neutral,1
 pancakes!! with lemon and sugar thanks!,pancakes lemon sugar thanks,positive,2
" Si, no bueno  I guess I just don`t entertain him ",si bueno guess dont entertain,negative,0
I`m so hunrgy right now and these heels kill me I can hardly walk in them,im hunrgy right heels kill hardly walk,negative,0
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,electronic keys stopped working keyhole cant get car much technology,negative,0
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",yay three followers good know one person big wide world likes fishies,positive,2
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,name tony hey poor tony,negative,0
Goodmorning,goodmorning,positive,2
Took a shift tomorrow.    I don`t really feel like working right now.,took shift tomorrow dont really feel like working right,negative,0
" I love mine, too . happy motherÃ¯Â¿Â½s day to your mom , John Taylor  . much love to you, too .",love mine happy motherãââ½s day mom john taylor much love,positive,2
Saw a black snake in the garden.  Went back for a picture and it was gone,saw black snake garden went back picture gone,neutral,1
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,bought ludi rug dogs best,positive,2
No waterfront anymore   faccia luna and clarendon will have to do,waterfront anymore faccia luna clarendon,negative,0
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,loves mum much happy mothers day wonderful mothers,positive,2
Slipped up and caught the flu  feeling like poop!,slipped caught flu feeling like poop,negative,0
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",urge play wow wait weeks til im dads days til mcfly im excited l,positive,2
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,ok passengers one alive theyre dead dont know til end cry,negative,0
Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,discovered sharing g reader didnt even know sigh im g reader newb,neutral,1
"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",chilled tonite cannot spew venom write funny seems like styles,neutral,1
" If u do, please pray 4 me.  Lord knows I need it.",u please pray lord knows need,neutral,1
aaaaaw i want to live in the USA,aaaaaw want live usa,neutral,1
Morning tweeple,morning tweeple,positive,2
" Hey, I didn`t get any !!!",hey didnt get,neutral,1
 Now you only have 2 hours to sleep...  - Rest if you need it.,hours sleep rest need,positive,2
"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",makes day much better rough one mention love new photo,neutral,1
I don`t want to sit at home on prom night. Someone hang out with me,dont want sit home prom night someone hang,negative,0
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,heading home foot surgery wishing boyfriend come cuddle,positive,2
concert tonight  chackin out and not coming tomorrow!,concert tonight chackin coming tomorrow,neutral,1
 what happened? I thought you were coming back today....,happened thought coming back today,neutral,1
 lol dammit  well then next time then,lol dammit well next time,negative,0
 lol. just don`t ever forget me,lol dont ever forget,positive,2
 Still jealous,still jealous,negative,0
Me at Forever 21  Ethan couldn`t be there,forever ethan couldnt,negative,0
NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,im sad im giving firsti didnt nothing,negative,0
this week of mine was not easy!  but finally it`s over! (:,week mine easy finally,negative,0
   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,wow beautiful picture wayi straightjust wanted let know bella,positive,2
In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,arch drawing checking mvccs cad degree looks good,positive,2
" 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",people pencils sharp sharpened pencil philosophy,neutral,1
"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",go home im usually mr positive one daze well mins tomorrow,neutral,1
 but you always have lee. Let`s go to Paris,always lee lets go paris,neutral,1
 you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,know want come keep company whilst mums friends night nice evening,positive,2
cooking with my dad  having lots of fun in the kitchen together,cooking dad lots fun kitchen together,positive,2
Bouncing Rush makes me feel nauseous,bouncing rush makes feel nauseous,negative,0
Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,woolsery morning hopefully see north molton u clinch north devon league title lovely day,positive,2
playing singstar without my fave duetter,playing singstar without fave duetter,negative,0
"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",youre missing bb im cereal nut think like every kind available,positive,2
" That`s just weird... :\  Oh, and what was it you were drawing for me?",thats weird oh drawing,negative,0
Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,woke mums singing new gnr cd replacement bought im good daughter,positive,2
"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",birds oh man thats cool didnt sleep yet night,negative,0
"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",miles go thats ok u radio alwas helps,positive,2
"My Street Fighter IV skills are lacking, can`t beat Seth on easy.",street fighter iv skills lacking cant beat seth easy,negative,0
 FIL 461 with cool people like me,fil cool people like,positive,2
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,good morning work espns sunday night baseball hopefully wont get rained,positive,2
 i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,think honeymoon good life either honey moon joseph arthur,neutral,1
my son got stung by a bug for the first time  his little finger is slightly swollen.,son got stung bug first time little finger slightly swollen,negative,0
 it was hours ago i came in.... and it`s only now i realised when i went to buy something online,hours ago came realised went buy something online,neutral,1
 oh just referring to our lil exchange on LJ with regards to twitter archive postings.,oh referring lil exchange lj regards twitter archive postings,neutral,1
Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,bumping dj opus drunk car lmao dont act like u dont know,negative,0
Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,kiss feet people kick anything want morning everyone hope best day ever,positive,2
Here`s a brief preview:   OMG James is creepy in that role! I`m scared of him,heres brief preview omg james creepy role im scared,negative,0
I`m missing crab legs and attending my going away instead!,im missing crab legs attending going away instead,negative,0
Hicks are mean!,hicks mean,negative,0
"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad",gettn ready take trip jersey dads good needs new heartwhoeva sees please say prayer dad,negative,0
"back soon, need to run to the shops and cut the grass",back soon need run shops cut grass,neutral,1
I`m up. I have a plan to transform my bedroom today. Random.,im plan transform bedroom today random,neutral,1
"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",home tomorrow running spinning time chiropractor laundry shopping visiting family missing nathan,negative,0
 thats another sponsor,thats another sponsor,neutral,1
" And most of us are going to be stuck in an office, some without windows",us going stuck office without windows,negative,0
 No it`s not sad. Should make you proud,sad make proud,negative,0
"   Sorry, we`ll try to keep it down.",sorry well try keep,negative,0
is home alone.. Doing hw,home alone hw,neutral,1
"According to , a quarter of families under six live in poverty.",according quarter families six live poverty,negative,0
the plan to not spend money is not going well,plan spend money going well,negative,0
uploading all my bamboozle pictures of facebook,uploading bamboozle pictures facebook,neutral,1
 congratulations ! you guys finish a month early than we do. booo,congratulations guys finish month early booo,positive,2
" actually, I wish I was back in Tahoe.  I miss it there.",actually wish back tahoe miss,negative,0
